id,full_name,first_name,last_name
4806894913038957414,Nickeil Alexander-Walker,Nickeil,Alexander-Walker
593367984526379111,Dyson Daniels,Dyson,Daniels
7488034394958673653,Mouhamed Gueye,Mouhamed,Gueye
3715094217543559539,Jalen Johnson,Jalen,Johnson
550167930816386807,Onyeka Okongwu,Onyeka,Okongwu
7602015824589766706,Zaccharie Risacher,Zaccharie,Risacher
-8979109939831570203,Keaton Wallace,Keaton,Wallace
-3569721854602978498,Asa Newell,Asa,Newell
137699377335809315,CJ McCollum,CJ,McCollum
3976275863147720804,Corey Kispert,Corey,Kispert
9096729400019200812,Caleb Houstan (TW),Caleb,(TW)
6234328504893268915,Christian Koloko (TW),Christian,(TW)
3000349861186102659,Jock Landale,Jock,Landale
5772313608566579392,Gabe Vincent,Gabe,Vincent
-1111844858620093428,Buddy Hield,Buddy,Hield
-1842774773661572253,RayJ Dennis (TW),RayJ,(TW)
5086554169126156333,Nikola Djurisic,Nikola,Djurisic
-3828501395271634107,Jonathan Kuminga,Jonathan,Kuminga
-8784593372432394194,Payton Pritchard,Payton,Pritchard
6455520978987521199,Derrick White,Derrick,White
5954950239292767729,Neemias Queta,Neemias,Queta
-8918322215261244678,Sam Hauser,Sam,Hauser
2176093054944862448,Jaylen Brown,Jaylen,Brown
4425885961211227709,Hugo González,Hugo,González
-4070950431512849612,Baylor Scheierman,Baylor,Scheierman
9182477835829188885,Jordan Walsh,Jordan,Walsh
4178106304816717386,Luka Garza,Luka,Garza
-6535531886085235968,Amari Williams,Amari,Williams
-1098558315255716135,Ron Harper Jr. (TW),Ron,(TW)
-4515614579262910142,Nikola Vučević,Nikola,Vučević
-5533544869008626614,Max Shulga (TW),Max,(TW)
-5940903962210032077,Jayson Tatum,Jayson,Tatum
2515154118049056172,Nic Claxton,Nic,Claxton
-6353931243179193945,Day'Ron Sharpe,Day'Ron,Sharpe
8819956171411403997,Noah Clowney,Noah,Clowney
-7046296620355344378,Egor Dёmin,Egor,Dёmin
-791968174898733919,Terance Mann,Terance,Mann
-8142628837540095404,Michael Porter Jr.,Michael,Jr.
6662582263870468047,Drake Powell,Drake,Powell
-6795970260861485447,Danny Wolf,Danny,Wolf
-8718584764683052303,Ziaire Williams,Ziaire,Williams
1404037870021843275,Jalen Wilson,Jalen,Wilson
5767792547560795272,Nolan Traoré,Nolan,Traoré
-2039277249955424187,Ben Saraf,Ben,Saraf
-7437912909600699249,E.J. Liddell (TW),E.J.,(TW)
1864358505319989959,Tyson Etienne (TW),Tyson,(TW)
6312849990298553645,Chaney Johnson (TW),Chaney,(TW)
6952139640317683108,Josh Minott,Josh,Minott
-7573642560373625817,Ochai Agbaji,Ochai,Agbaji
-2705395813148948315,Sion James,Sion,James
-9119569980564608950,Kon Knueppel,Kon,Knueppel
1998740709711035816,Miles Bridges,Miles,Bridges
-502310210642237355,Moussa Diabaté,Moussa,Diabaté
9202588457643589982,LaMelo Ball,LaMelo,Ball
5247839660628000108,Ryan Kalkbrenner,Ryan,Kalkbrenner
8317804271994871248,Brandon Miller,Brandon,Miller
-248544581534794407,Tre Mann,Tre,Mann
-5796129006542041608,Tidjane Salaün,Tidjane,Salaün
7135779385827233186,Josh Green,Josh,Green
5671133103460676865,Liam McNeeley,Liam,McNeeley
7016171662605884059,Pat Connaughton,Pat,Connaughton
1259354574627328965,Grant Williams,Grant,Williams
-3839712329750147799,PJ Hall (TW),PJ,(TW)
2941486803075686523,Antonio Reeves (TW),Antonio,(TW)
6644712969748425771,Xavier Tillman Sr.,Xavier,Sr.
6214257569671354712,Coby White,Coby,White
2990620773140926621,Tosan Evbuomwan (TW),Tosan,(TW)
-2434267914513804526,Matas Buzelis,Matas,Buzelis
-6741004126868457338,Patrick Williams,Patrick,Williams
5136235160854167772,Isaac Okoro,Isaac,Okoro
1519820222543111790,Jalen Smith,Jalen,Smith
7941539492668142419,Tre Jones,Tre,Jones
9168501864609515569,Josh Giddey,Josh,Giddey
-6481460359268291592,Lachlan Olbrich (TW),Lachlan,(TW)
5650623567708208143,Zach Collins,Zach,Collins
-2596742763286029632,Yuki Kawamura (TW),Yuki,(TW)
6147095466919921236,Anfernee Simons,Anfernee,Simons
-2916593280649705085,Jaden Ivey,Jaden,Ivey
1444166504586088271,Guerschon Yabusele,Guerschon,Yabusele
1667763800384180303,Collin Sexton,Collin,Sexton
7751668037195906724,Nick Richards,Nick,Richards
6097125522150846303,Rob Dillingham,Rob,Dillingham
4249854027679233989,Noa Essengue,Noa,Essengue
-6486809223168069181,Mac McClung (TW),Mac,(TW)
1854909758790799844,Leonard Miller,Leonard,Miller
-6505008169093524496,Donovan Mitchell,Donovan,Mitchell
7597954885023591033,Jaylon Tyson,Jaylon,Tyson
598548732474300398,Craig Porter Jr.,Craig,Jr.
2151034565194042250,Nae'Qwan Tomlin (TW),Nae'Qwan,(TW)
5114384915498987707,Dean Wade,Dean,Wade
8451730452487473994,Evan Mobley,Evan,Mobley
5755845133458468611,Jarrett Allen,Jarrett,Allen
-3161748205354696601,Thomas Bryant,Thomas,Bryant
-4989841213048919293,Tyrese Proctor,Tyrese,Proctor
2112804217335522309,Sam Merrill,Sam,Merrill
-9046750793534618132,Larry Nance Jr.,Larry,Jr.
-2043985415891963944,Dennis Schröder,Dennis,Schröder
6344636072912699184,Keon Ellis,Keon,Ellis
-2984034326880565171,James Harden,James,Harden
7202293163827179668,Tristan Enaruna (TW),Tristan,(TW)
-3924333123383630661,Chuma Okeke,Chuma,Okeke
3067352816133526264,Emanuel Miller (TW),Emanuel,(TW)
7389970027312312518,Max Strus,Max,Strus
-5288754028597956155,Naji Marshall,Naji,Marshall
-779911197672241610,Cooper Flagg,Cooper,Flagg
-4795703579899277383,Max Christie,Max,Christie
7755992422922410352,Klay Thompson,Klay,Thompson
-616647912901339790,Caleb Martin,Caleb,Martin
4882203353180643211,Brandon Williams,Brandon,Williams
818511810990486393,Dwight Powell,Dwight,Powell
-8940311119300982476,P.J. Washington,P.J.,Washington
4227937903918697038,Ryan Nembhard (TW),Ryan,(TW)
1161600646490778234,Daniel Gafford,Daniel,Gafford
-3669007705548107921,Moussa Cisse (TW),Moussa,(TW)
-1488865977098083283,Miles Kelly (TW),Miles,(TW)
9114571443451311441,Dereck Lively II,Dereck,II
