Player,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Luka Doncic,40.4,8.9,7.7,0.7,2.3,0.495,0.764,6.0,4.0,7,38.3,7.9,7.3,19.2,2.0
Bam Adebayo,35.2,8.6,2.8,1.0,1.8,0.421,0.781,3.2,2.2,5,37.4,12.8,6.4,5.1,2.0
Devin Booker,32.4,3.9,5.1,0.4,0.3,0.463,0.887,2.0,3.3,7,34.9,9.0,8.7,18.2,2.9
Kawhi Leonard,31.0,5.8,3.2,0.0,1.8,0.568,0.846,2.7,1.8,6,30.4,7.3,7.8,14.8,1.3
Tyrese Maxey,31.0,2.0,5.0,0.0,4.0,0.546,1.0,3.0,5.0,1,37.9,4.0,9.0,1.0,3.0
Shai Gilgeous-Alexander,29.5,5.2,7.8,1.0,2.2,0.554,0.875,1.8,2.0,6,34.6,7.0,8.5,14.3,2.2
Anthony Edwards,29.0,4.2,4.2,1.0,1.2,0.449,0.862,3.0,3.0,5,34.4,10.0,5.0,6.3,2.8
Victor Wembanyama,28.8,10.7,3.0,2.7,1.5,0.532,0.829,3.5,2.3,6,31.5,5.7,6.3,5.5,1.7
Giannis Antetokounmpo,27.8,8.8,5.5,0.3,1.5,0.539,0.614,0.0,2.5,4,27.8,6.8,10.5,13.8,1.8
Brice Sensabaugh,26.8,3.7,2.3,0.5,1.2,0.541,0.81,4.0,3.0,6,27.7,2.8,6.0,3.2,1.8
Jaylen Brown,26.3,5.7,6.0,0.3,1.0,0.46,0.939,1.0,3.6,7,33.8,8.7,7.3,16.2,2.7
Jalen Brunson,26.0,4.2,8.2,0.2,1.5,0.443,0.837,2.0,3.5,6,37.7,6.0,7.0,16.6,1.5
Nickeil Alexander-Walker,25.0,3.0,3.3,0.4,2.0,0.537,0.939,4.0,2.6,7,34.0,4.4,4.3,6.8,2.4
Paolo Banchero,24.8,8.6,5.0,0.5,0.3,0.488,0.79,1.5,3.0,8,34.8,7.5,6.4,15.7,2.0
Dejounte Murray,24.5,5.5,5.8,0.0,1.5,0.661,0.688,2.3,3.5,4,28.9,2.8,7.5,6.3,2.5
Michael Porter Jr.,24.5,7.5,1.0,0.5,1.5,0.436,1.0,2.0,2.5,2,30.8,5.5,6.5,0.8,3.0
Karl-Anthony Towns,24.3,12.2,3.5,0.7,1.0,0.542,0.842,1.7,2.5,6,31.8,5.3,7.0,9.8,3.3
Jalen Duren,23.8,9.4,1.1,1.1,0.8,0.695,0.746,0.0,1.1,9,26.3,5.6,9.1,5.5,2.7
Jalen Green,23.7,4.6,3.6,0.1,1.3,0.438,0.783,3.1,2.7,7,32.3,2.6,5.9,11.8,1.0
Austin Reaves,23.6,4.9,6.1,0.6,1.3,0.491,0.791,2.4,1.7,7,40.0,4.9,5.7,32.3,2.0
Donovan Mitchell,23.5,4.3,6.3,0.5,1.5,0.439,0.872,2.2,1.0,6,33.8,5.7,5.7,16.7,1.5
James Harden,23.3,5.4,7.4,0.3,0.9,0.505,0.796,3.4,3.3,7,34.4,5.6,3.7,12.3,1.9
RJ Barrett,23.1,5.7,2.3,0.6,0.7,0.563,0.774,1.7,2.0,7,32.7,3.4,7.3,10.4,2.7
Matas Buzelis,23.1,7.1,1.6,2.0,1.3,0.449,0.807,3.3,1.9,7,34.4,3.6,4.9,6.3,1.1
Nikola Jokic,23.1,13.0,12.0,1.3,2.1,0.57,0.811,1.4,4.6,7,36.2,4.3,7.3,22.6,2.9
Desmond Bane,23.0,3.9,4.5,0.1,1.5,0.529,0.976,2.0,1.5,8,33.7,5.0,6.0,17.3,3.6
Jalen Johnson,23.0,9.6,8.7,0.3,1.3,0.508,0.808,2.3,3.3,7,36.2,3.0,6.6,24.3,1.7
