Player,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Luka Doncic,36.3,9.4,7.6,1.0,2.4,0.484,0.793,5.1,3.9,7,37.8,6.0,7.4,19.7,2.0
Devin Booker,33.0,4.6,4.6,0.5,0.8,0.47,0.899,2.6,3.4,8,34.6,8.9,8.1,18.4,2.5
Bam Adebayo,32.2,8.7,3.0,1.2,1.7,0.412,0.8,2.2,2.0,6,35.5,11.3,7.2,7.1,2.3
Kawhi Leonard,31.4,6.3,3.3,0.0,1.9,0.54,0.862,2.3,1.3,7,30.5,8.0,8.3,16.0,1.6
Shai Gilgeous-Alexander,30.5,5.2,8.2,1.0,1.8,0.529,0.9,2.0,2.5,6,36.2,7.5,8.5,17.0,2.3
Victor Wembanyama,29.1,11.1,3.0,3.4,1.0,0.529,0.786,3.9,1.7,7,30.6,4.7,6.4,6.2,2.1
Collin Sexton,29.0,2.5,4.0,0.0,1.0,0.645,0.75,4.5,0.5,2,29.9,4.5,5.5,5.0,0.5
Tyrese Maxey,28.0,2.0,5.5,1.5,2.5,0.455,1.0,2.5,3.0,2,37.9,5.5,7.5,7.0,1.5
Anthony Edwards,27.8,4.2,4.0,0.8,1.2,0.475,0.85,3.3,3.2,6,34.3,8.5,4.7,7.1,2.5
Giannis Antetokounmpo,27.0,8.0,5.2,0.2,1.4,0.559,0.596,0.0,2.4,5,27.5,6.2,10.4,15.8,1.4
Matas Buzelis,26.0,7.6,2.0,2.0,0.8,0.465,0.87,3.6,1.8,5,35.4,4.0,5.6,5.8,1.4
Nickeil Alexander-Walker,25.8,2.8,3.2,0.3,2.0,0.552,0.955,4.7,3.0,6,35.4,3.5,4.2,6.2,2.5
Pascal Siakam,25.7,5.3,3.0,0.0,1.3,0.5,0.688,0.3,1.3,3,30.7,7.3,8.7,4.0,1.7
Nikola Jokic,25.3,12.7,12.0,0.9,2.3,0.591,0.929,1.1,4.6,7,35.2,5.6,8.1,20.3,2.3
Michael Porter Jr.,25.3,9.3,1.7,0.7,1.7,0.413,0.929,3.7,2.7,3,32.5,4.3,5.0,1.8,3.0
Jalen Johnson,25.0,9.3,9.7,0.3,1.3,0.519,0.807,2.2,3.0,6,36.5,4.2,7.2,24.2,1.8
Paolo Banchero,24.3,9.8,4.9,0.4,0.4,0.492,0.771,1.5,3.4,8,35.7,6.8,6.5,14.4,1.6
RJ Barrett,24.3,6.2,2.0,0.5,0.8,0.588,0.714,2.0,1.7,6,33.2,3.3,7.5,8.7,2.7
Austin Reaves,24.0,4.7,6.1,0.4,1.7,0.5,0.842,2.3,1.7,7,38.3,4.6,6.3,24.0,2.4
Dejounte Murray,24.0,6.5,4.3,0.0,1.8,0.617,0.714,1.8,2.8,4,29.0,3.8,7.5,6.2,3.3
Jaylen Brown,23.7,6.6,6.4,0.3,1.0,0.445,0.883,1.0,3.6,7,32.9,7.6,6.6,13.8,2.1
Donovan Mitchell,23.5,4.3,6.3,0.5,1.5,0.439,0.872,2.2,1.0,6,33.8,5.7,5.7,16.7,1.5
Jalen Brunson,23.4,3.7,10.1,0.1,1.3,0.41,0.851,2.0,3.1,7,36.8,5.7,5.9,33.9,1.6
Jalen Green,23.3,4.0,3.4,0.1,1.1,0.429,0.767,3.1,2.4,8,31.8,2.9,5.5,15.0,1.1
Ty Jerome,23.3,1.7,6.0,0.0,1.0,0.463,0.846,3.0,2.7,3,24.5,3.7,5.3,10.0,2.3
DeMar DeRozan,22.7,2.3,4.7,0.5,1.3,0.556,0.875,0.2,2.7,6,30.6,5.8,8.2,8.0,2.0
Tyler Herro,22.6,6.6,5.4,0.2,0.6,0.481,0.957,3.4,2.0,5,32.1,4.4,4.0,8.5,1.6
Kevin Durant,22.3,6.0,3.7,1.0,1.0,0.555,0.821,1.6,3.6,7,35.7,3.3,7.1,13.6,1.3
Karl-Anthony Towns,22.0,12.6,3.3,0.6,0.9,0.59,0.813,1.4,1.7,7,31.7,3.7,7.0,11.5,3.7
Desmond Bane,21.8,4.0,4.6,0.1,1.4,0.513,0.974,1.8,1.4,8,35.1,4.8,5.9,19.3,4.3
Jalen Duren,21.8,9.5,1.4,1.3,0.5,0.694,0.717,0.0,1.0,8,25.4,4.8,8.5,7.0,3.0
Evan Mobley,21.8,10.3,2.3,2.5,0.2,0.606,0.464,0.7,1.5,6,30.5,2.2,8.8,3.5,2.7
LaMelo Ball,21.7,5.1,5.6,0.1,1.0,0.428,0.846,4.1,2.4,7,28.2,1.6,3.9,12.3,3.3
OG Anunoby,21.5,5.8,2.4,0.5,1.6,0.552,0.912,3.1,1.8,8,33.6,3.9,4.1,9.5,2.5
Zion Williamson,21.5,6.0,2.5,0.3,0.5,0.671,0.686,0.0,1.8,6,30.1,5.8,7.8,6.2,2.0
De'Aaron Fox,21.3,3.6,7.0,0.5,1.0,0.54,0.692,2.0,1.6,8,31.4,2.3,6.5,30.8,2.6
James Harden,21.2,5.2,7.2,0.2,0.7,0.526,0.79,2.8,3.0,6,34.0,5.0,3.8,10.5,1.3
Darius Garland,21.2,2.5,7.3,0.0,1.2,0.46,0.786,4.0,3.2,6,27.7,1.8,3.7,19.8,1.5
Amen Thompson,21.1,8.0,5.9,0.4,1.3,0.596,0.744,0.6,2.1,7,38.3,4.6,7.4,19.3,2.1
Bennedict Mathurin,21.0,5.8,2.0,0.5,0.9,0.465,0.875,0.8,1.8,8,29.8,7.0,5.9,9.3,2.8
Jamal Murray,21.0,4.1,5.3,0.3,0.6,0.425,0.864,1.9,1.6,7,32.3,5.4,5.0,14.3,2.4
Trey Murphy III,21.0,5.7,4.8,0.5,1.7,0.46,0.828,3.7,1.7,6,34.2,4.0,3.0,10.3,1.8
Brandon Ingram,21.0,4.8,3.2,0.2,1.2,0.433,0.727,2.0,2.3,6,35.4,4.0,5.5,6.3,2.0
De'Anthony Melton,21.0,5.0,2.8,0.8,2.0,0.5,0.917,1.8,2.0,4,26.1,2.8,6.5,6.3,1.5
Quentin Grimes,20.9,4.4,2.8,0.3,1.1,0.468,0.816,1.1,2.3,8,34.5,5.0,6.3,11.7,1.6
Derrick White,20.8,4.7,4.8,0.8,0.8,0.451,0.931,2.7,1.3,6,33.5,4.5,4.2,13.8,2.2
Chet Holmgren,20.8,9.5,1.3,0.5,0.8,0.589,0.9,2.0,1.0,4,31.5,2.3,6.3,0.7,1.8
Kon Knueppel,20.4,3.7,2.6,0.3,0.6,0.506,0.893,3.7,0.6,7,31.3,3.6,2.9,5.0,2.3
Keyonte George,20.3,2.0,3.3,0.0,0.5,0.394,0.909,2.3,1.0,4,26.0,5.0,4.3,8.0,1.3
Brice Sensabaugh,20.1,3.0,2.4,0.4,1.0,0.467,0.826,3.1,2.3,7,24.7,2.7,4.0,6.6,1.7
Deni Avdija,20.0,5.4,7.4,1.2,1.0,0.427,0.838,1.0,4.0,5,32.6,6.2,5.4,14.5,2.0
Jayson Tatum,20.0,8.2,4.4,0.0,1.2,0.409,0.917,2.6,1.4,5,29.1,2.2,5.0,16.5,1.4
Kelly Oubre Jr.,20.0,6.3,2.0,0.3,1.3,0.467,0.737,1.3,2.7,3,29.1,4.7,5.7,1.1,1.3
Josh Giddey,19.8,11.8,13.0,0.2,1.6,0.474,0.778,3.6,3.6,5,37.9,1.4,3.8,20.7,1.8
Cade Cunningham,19.6,3.7,10.0,0.1,1.3,0.51,0.864,2.6,3.1,7,28.8,2.7,4.6,22.6,2.9
Jerami Grant,19.6,3.6,2.3,0.4,1.1,0.536,0.714,3.1,2.4,7,32.9,3.6,3.3,8.3,2.7
Kristaps Porzingis,19.0,4.5,3.3,2.3,1.0,0.442,0.862,1.3,1.5,4,22.7,6.3,4.5,10.3,2.8
Cooper Flagg,18.9,7.0,6.6,1.4,0.8,0.412,0.8,0.6,2.8,8,30.4,3.0,7.0,23.0,2.0
Julius Randle,18.6,6.9,2.9,0.1,1.1,0.489,0.825,1.0,3.3,7,29.8,4.7,5.4,10.9,3.1
Tre Jones,18.5,3.5,4.7,0.2,1.2,0.598,0.818,0.7,1.3,6,30.6,1.5,7.5,10.2,0.8
Norman Powell,18.5,3.5,3.0,0.5,0.5,0.438,0.636,1.0,0.5,2,30.9,3.5,6.0,3.0,2.0
Isaiah Collier,18.4,2.6,6.6,0.4,1.2,0.467,0.792,0.6,2.2,5,25.8,3.8,6.4,16.4,1.4
Brandin Podziemski,18.0,6.3,4.1,0.1,1.3,0.448,0.714,2.9,1.7,7,34.6,2.9,3.3,16.3,1.7
Bobby Portis Jr.,17.7,6.9,2.1,0.3,1.0,0.5,0.7,3.0,1.3,7,26.0,1.0,3.9,12.0,1.3
Gui Santos,17.6,6.3,5.0,0.3,1.3,0.47,0.7,2.1,2.6,7,34.7,2.0,4.6,18.6,2.9
GG Jackson II,17.4,4.4,2.2,1.0,0.4,0.462,0.625,1.0,3.2,5,27.5,2.0,6.2,6.5,1.4
Maxime Raynaud,17.3,8.4,1.9,1.3,0.1,0.565,0.882,0.3,2.3,7,31.9,2.1,7.1,7.5,2.3
Jrue Holiday,17.3,4.6,6.3,0.3,0.7,0.517,0.667,3.0,2.6,7,30.0,0.9,3.7,16.4,1.1
LeBron James,17.3,5.8,6.3,0.5,2.3,0.56,0.733,0.5,2.8,4,35.1,2.8,6.5,15.8,2.3
Daniel Gafford,17.3,12.0,1.5,1.0,0.3,0.811,0.563,0.0,1.3,4,25.2,2.3,7.5,5.5,2.5
Malik Monk,17.3,1.7,3.0,0.3,0.0,0.476,1.0,1.7,0.3,3,23.9,2.3,5.0,4.0,1.7
Alperen Sengun,17.0,6.6,3.8,0.8,0.2,0.529,0.556,0.2,4.2,5,28.9,2.0,7.2,5.1,3.6
CJ McCollum,16.8,3.8,4.3,0.3,0.8,0.398,0.783,2.2,2.5,6,29.8,3.0,3.7,15.9,2.0
Precious Achiuwa,16.7,9.6,2.0,1.4,0.6,0.593,0.818,0.9,0.9,7,32.7,1.3,6.4,3.0,2.1
Brandon Miller,16.6,6.7,3.4,0.3,1.7,0.414,0.941,2.6,2.3,7,31.7,2.3,3.3,8.9,3.1
Ryan Rollins,16.5,4.5,7.1,0.6,1.5,0.506,0.9,2.8,2.9,8,34.1,2.3,3.0,33.2,2.8
Saddiq Bey,16.5,5.3,1.7,0.3,1.0,0.405,0.807,1.0,0.7,6,31.5,4.2,4.7,8.0,1.7
Jaylen Wells,16.5,2.8,1.3,0.2,1.2,0.457,0.947,2.8,0.8,6,26.8,3.0,2.5,5.5,2.3
