RANK,PLAYER,TEAM,AGE,GP,W,L,MIN,USGPCT,PCTFGM,PCTFGA,PCT3PM,PCT3PA,PCTFTM,PCTFTA,PCTOREB,PCTDREB,PCTREB,PCTAST,PCTTOV,PCTSTL,PCTBLK,PCTBLKA,PCTPF,PCTPFD,PCTPTS
1,TOLU SMITH,DET,25,1,0,1,6.0,44.4,42.9,33.3,0.0,0.0,100,87.5,50.0,28.6,36.4,0.0,50.0,33.3,0.0,0.0,0.0,83.3,55.0
2,LUKA DONCIC,LAL,26,7,5,2,260.0,37.8,35.4,37.7,38.0,41.8,53.7,51.9,11.3,36.6,30.4,44.8,33.8,25.0,21.4,11.8,17.1,47.3,39.0
3,JALEN GREEN,PHX,23,2,2,0,30.0,37.0,32.4,38.3,37.5,46.7,27.3,35.7,20.0,11.1,14.3,16.7,28.6,20.0,0.0,0.0,20.0,30.8,32.6
4,GIANNIS ANTETOKOUNMPO,MIL,30,10,6,4,329.0,35.3,39.9,33.9,7.5,6.4,55.7,59.7,56.5,35.6,40.5,33.0,31.6,15.8,37.1,34.6,16.0,55.2,38.2
5,JAYLEN BROWN,BOS,29,11,5,6,350.0,34.9,37.6,33.4,23.0,20.8,46.4,44.5,6.6,23.0,18.0,24.7,44.4,12.3,9.5,25.8,21.1,43.2,37.0
6,JOEL EMBIID,PHI,31,6,4,2,140.0,34.5,30.8,33.7,17.6,24.8,50.0,47.9,26.5,28.2,27.7,23.3,38.1,26.3,40.9,27.8,21.7,45.3,32.0
7,BRANDON MILLER,CHA,22,2,1,1,40.0,33.3,26.3,35.7,13.3,33.3,46.7,40.0,0.0,0.0,0.0,30.8,21.4,25.0,25.0,0.0,26.3,37.5,27.4
7,HUNTER DICKINSON,NOP,24,1,0,1,5.0,33.3,50.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100,0.0,50.0,0.0,33.3
7,SHAI GILGEOUS-ALEXANDER,OKC,27,11,10,1,383.0,33.3,36.8,33.1,20.7,19.8,51.1,50.0,5.1,18.9,15.9,37.9,25.7,15.8,27.9,27.3,12.6,40.2,37.7
10,ANTHONY EDWARDS,MIN,24,7,5,2,199.0,32.6,32.8,33.8,40.8,36.0,41.3,41.9,14.0,16.8,16.1,19.5,28.6,15.2,14.3,13.3,12.1,30.9,35.1
11,STEPHEN CURRY,GSW,37,8,5,3,249.0,31.6,31.2,33.6,38.5,39.1,38.7,35.5,4.3,16.1,13.6,21.8,25.6,26.7,22.7,21.4,13.9,35.3,33.5
12,CAM THOMAS,BKN,24,8,1,7,226.0,31.4,29.0,32.0,30.2,26.6,47.1,40.9,5.7,6.5,6.3,20.6,24.2,11.8,9.1,24.0,13.6,37.1,32.7
13,JALEN BRUNSON,NYK,29,9,6,3,300.0,31.3,31.4,31.6,21.8,25.8,38.6,37.3,4.1,13.1,10.2,30.9,25.6,17.0,0.0,19.4,17.5,38.0,31.2
14,ZION WILLIAMSON,NOP,25,5,0,5,157.0,31.1,30.4,28.4,0.0,0.0,49.4,53.3,36.4,18.9,24.5,29.9,31.5,38.5,7.7,44.8,17.6,44.6,31.1
15,JA MORANT,MEM,26,10,4,6,306.0,31.1,25.3,30.7,9.8,21.7,42.1,37.6,6.7,16.2,13.6,46.5,38.3,26.1,4.5,42.3,17.0,28.9,26.6
16,CADE CUNNINGHAM,DET,24,11,9,2,407.0,30.8,28.9,31.0,21.9,26.4,38.1,35.1,9.0,16.4,14.0,48.7,35.1,19.2,17.0,25.6,20.1,34.2,29.9
17,SHAEDON SHARPE,POR,22,10,5,5,271.0,30.5,29.3,31.9,26.4,29.8,27.7,27.0,17.4,20.3,19.3,9.7,30.3,25.4,7.4,29.4,15.0,26.4,28.7
18,DONOVAN MITCHELL,CLE,29,10,7,3,338.0,30.0,32.4,31.1,34.1,32.9,35.1,32.5,8.0,16.4,14.1,27.7,28.7,23.1,12.5,12.5,12.0,27.3,33.1
19,VICTOR WEMBANYAMA,SAS,21,10,8,2,341.0,29.8,30.8,30.3,16.7,18.0,39.9,37.9,20.5,43.3,38.3,19.4,27.8,18.5,76.5,9.5,25.5,42.2,31.1
20,DEVIN BOOKER,PHX,29,11,6,5,396.0,29.8,31.6,28.9,20.0,18.4,46.7,43.8,13.2,12.8,12.9,33.6,33.3,9.8,7.5,34.3,15.4,36.9,32.5
21,AUSTIN REAVES,LAL,27,8,6,2,294.0,29.7,26.7,29.2,34.8,35.1,49.0,44.6,6.9,19.0,16.2,41.4,26.6,20.7,0.0,21.7,14.5,38.0,31.8
22,PASCAL SIAKAM,IND,31,9,1,8,318.0,29.6,30.7,29.5,18.3,18.0,34.9,42.6,15.3,26.0,23.1,34.4,29.1,32.4,11.5,16.7,18.4,33.8,30.0
23,LAMELO BALL,CHA,24,6,2,4,200.0,29.5,26.1,29.5,28.6,33.3,25.3,24.8,19.6,25.3,24.0,49.2,36.1,37.0,5.0,23.1,25.0,28.6,26.3
24,JOHNI BROOME,PHI,23,2,1,1,6.0,29.4,28.6,35.7,0.0,20.0,0.0,0.0,100,0.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
25,TYRESE MAXEY,PHI,25,10,6,4,411.0,29.2,30.2,30.5,35.3,30.8,35.6,32.9,3.7,17.2,13.3,36.4,23.1,19.4,16.9,25.0,15.3,26.0,31.8
26,MICHAEL PORTER JR.,BKN,27,9,1,8,284.0,28.6,31.4,30.9,36.1,34.5,25.7,26.4,15.9,36.1,30.0,14.8,23.7,18.4,5.3,24.1,15.7,18.5,31.2
27,DILLON BROOKS,PHX,29,5,3,2,145.0,28.0,25.2,30.0,30.8,34.8,32.8,29.3,12.2,13.2,12.9,14.3,18.6,40.7,14.3,18.8,20.2,26.5,27.2
28,JONAS VALANČIŪNAS,DEN,33,9,7,2,113.0,27.8,31.4,26.9,6.3,6.7,46.7,45.9,46.4,35.3,38.1,18.0,25.7,6.7,75.0,35.7,34.0,43.2,30.1
29,ANTHONY DAVIS,DAL,32,5,2,3,149.0,27.8,33.3,27.9,10.0,12.0,37.1,38.3,56.7,32.7,38.1,15.7,22.9,30.8,37.5,23.1,23.6,37.2,31.9
30,LAURI MARKKANEN,UTA,28,10,3,7,353.0,27.7,32.9,31.1,33.3,29.7,34.6,33.0,18.6,17.2,17.6,10.4,10.6,18.0,14.8,27.5,10.1,33.1,33.3
